Name,Income,Debt,Credit_Score,Historical_Risk,Recent_Transactions
John Williams,132672,16303,809,Low Risk,"Shell Station, Tesco, Uber, Netflix, Shell Station"
Sherri Espinoza,122267,20492,843,Low Risk,"Uber, Shell Station, Uber, Uber, Amazon"
Kyle Daniels,43041,26416,793,High Risk,"Shell Station, Netflix, Amazon, Netflix, CryptoBinance"
Rebecca Watson,106929,13855,447,High Risk,"Unknown Transfer, Spotify, Spotify, Starbucks, Tesco"
Jennifer Collins,38877,12946,806,Low Risk,"Tesco, Tesco, Starbucks, Starbucks, Uber"
Joseph Davis,43466,8758,816,Low Risk,"Tesco, Starbucks, Amazon, Netflix, Uber"
James Sanders,120981,25832,844,Low Risk,"Amazon, Uber, Netflix, Spotify, Spotify"
Dana Sullivan,41113,17846,750,Low Risk,"Netflix, Uber, Uber, Shell Station, Tesco"
William Edwards,65518,18003,647,Low Risk,"Uber, Uber, Netflix, Shell Station, Shell Station"
Jamie Garner,128143,13420,822,Low Risk,"Shell Station, Amazon, Shell Station, Spotify, Starbucks"
Tracy Pittman,137123,16231,834,Low Risk,"Amazon, Shell Station, Netflix, Starbucks, Uber"
Melinda White,99902,11723,719,Low Risk,"Spotify, Shell Station, Tesco, Amazon, Tesco"
Sandra Pacheco,29413,21305,564,High Risk,"CryptoBinance, Amazon, Amazon, Shell Station, Tesco"
Michael Porter,129269,17999,493,High Risk,"Starbucks, LuxuryWatches, Starbucks, Starbucks, Amazon"
Margaret Flores,77342,5251,448,High Risk,"Spotify, CryptoBinance, Amazon, Spotify, Amazon"
Jacob George,128502,1295,312,High Risk,"Amazon, Starbucks, Shell Station, Spotify, Unknown Transfer"
Alexis Brewer,96614,37069,734,Low Risk,"Spotify, Spotify, Netflix, Starbucks, Tesco"
Joseph Bailey,80107,224,781,Low Risk,"Amazon, Shell Station, Spotify, Amazon, Netflix"
Taylor Stevens,117426,10446,505,High Risk,"Starbucks, CryptoBinance, Tesco, Netflix, Shell Station"
Joseph Kim,134016,14374,358,High Risk,"Tesco, CryptoBinance, Netflix, Starbucks, Amazon"
Carla Woods,49105,12429,374,High Risk,"Netflix, Amazon, Spotify, LuxuryWatches, Spotify"
Amy Morgan,99539,15620,791,Low Risk,"Shell Station, Amazon, Netflix, Amazon, Shell Station"
Tammy Reynolds,76048,13022,631,Low Risk,"Netflix, Tesco, Netflix, Amazon, Tesco"
Caleb Webster,36676,8961,412,High Risk,"CryptoBinance, Uber, Amazon, Amazon, Amazon"
Bonnie Lewis,51627,25258,577,High Risk,"Tesco, Uber, PokerStars, Shell Station, Spotify"
Diamond George,50500,30313,420,High Risk,"Netflix, Tesco, LuxuryWatches, Amazon, Tesco"
Frederick Harris,116519,11041,687,Low Risk,"Shell Station, Netflix, Shell Station, Starbucks, Starbucks"
Michael Vega,50624,23460,808,Low Risk,"Spotify, Shell Station, Tesco, Spotify, Amazon"
Andrea Bradshaw,129932,5264,626,Low Risk,"Netflix, Amazon, Amazon, Tesco, Tesco"
Timothy Lee,65702,38832,600,Low Risk,"Shell Station, Uber, Starbucks, Starbucks, Uber"
Andrea Brooks,118976,20834,844,Low Risk,"Shell Station, Spotify, Uber, Uber, Netflix"
Pamela Schwartz,42542,6971,349,High Risk,"Netflix, CryptoBinance, Amazon, Starbucks, Uber"
Brenda Fowler,71315,9648,427,High Risk,"CryptoBinance, Spotify, Starbucks, Spotify, Starbucks"
Terry Allen,47244,22758,430,High Risk,"Uber, PokerStars, Tesco, Shell Station, Netflix"
Morgan Lawrence,60427,9419,791,Low Risk,"Netflix, Starbucks, Amazon, Tesco, Amazon"
Kelly Hodge,53536,19630,530,High Risk,"Amazon, Uber, Unknown Transfer, Tesco, Spotify"
Mrs. Cynthia Shepherd,129799,3630,723,Low Risk,"Shell Station, Spotify, Spotify, Tesco, Uber"
Holly Thomas,125266,15379,427,High Risk,"Tesco, Tesco, PokerStars, Starbucks, Spotify"
Carolyn Cain,87162,4162,727,Low Risk,"Tesco, Netflix, Uber, Starbucks, Netflix"
Holly White,134034,30402,624,Low Risk,"Starbucks, Tesco, Spotify, Spotify, Starbucks"
Dr. Lori Franklin,130874,23959,835,Low Risk,"Spotify, Starbucks, Netflix, Uber, Amazon"
Christopher Mendez,60187,15193,697,Low Risk,"Uber, Shell Station, Starbucks, Spotify, Amazon"
Jamie Gibson,60080,33666,827,Low Risk,"Spotify, Shell Station, Amazon, Shell Station, Netflix"
Dennis Cobb,50314,24889,655,Low Risk,"Spotify, Amazon, Shell Station, Netflix, Spotify"
Andrew Stevenson,110534,16233,326,High Risk,"Amazon, Shell Station, Unknown Transfer, Starbucks, Shell Station"
Alexis Ferguson,148300,2341,573,High Risk,"Bet365, Amazon, Uber, Starbucks, Netflix"
Christina Cox,99014,30289,747,Low Risk,"Uber, Amazon, Uber, Spotify, Amazon"
Logan Alvarez,38489,10852,420,High Risk,"Starbucks, Shell Station, Spotify, CasinoRoyal, Spotify"
Alisha Kelly,57454,12548,687,Low Risk,"Tesco, Tesco, Uber, Uber, Shell Station"
Monica Zimmerman,54554,9309,500,High Risk,"Shell Station, Uber, Starbucks, Unknown Transfer, Amazon"
